name,address,street,postal_code,city,canton,url
Clienia Schlössli - Psychiatrische Klinik,"Schlösslistrasse 8, 8618 Oetwil am See",Schlösslistrasse 8,8618,Oetwil am See,Zürich,https://www.onedoc.ch/de/klinik/oetwil-am-see/ewg1/clienia-schlossli-psychiatrische-klinik
"Dietikon, Ärztezentrum Limmatfeld - Radiologische Klinik","Ueberlandstrasse 26, 8953 Dietikon",Ueberlandstrasse 26,8953,Dietikon,Zürich,https://www.onedoc.ch/de/klinik/dietikon/eyru/dietikon-arztezentrum-limmatfeld-radiologische-klinik
"Dietikon, Ärztezentrum Limmatfeld - Urologische Klinik","Ueberlandstrasse 26, 8953 Dietikon",Ueberlandstrasse 26,8953,Dietikon,Zürich,https://www.onedoc.ch/de/klinik/dietikon/eya9/dietikon-arztezentrum-limmatfeld-urologische-klinik
"Ellikon an der Thur, Forel Klinik - Psychiatrie - Entwöhnung","Islikonerstrasse 5, 8548 Ellikon an der Thur",Islikonerstrasse 5,8548,Ellikon an der Thur,Zürich,https://www.onedoc.ch/de/klinik/ellikon-an-der-thur/eww8/ellikon-an-der-thur-forel-klinik-psychiatrie-entwohnung
"Ellikon an der Thur, Forel Klinik - Psychiatrie - Stationär","Islikonerstrasse 5, 8548 Ellikon an der Thur",Islikonerstrasse 5,8548,Ellikon an der Thur,Zürich,https://www.onedoc.ch/de/klinik/ellikon-an-der-thur/e0uo/ellikon-an-der-thur-forel-klinik-psychiatrie-stationar
Eulach Klinik,"Brunngasse 6, 8400 Winterthur",Brunngasse 6,8400,Winterthur,Zürich,https://www.onedoc.ch/de/klinik/winterthur/euc8/eulach-klinik
Eulach Klinik - Ophthalmologische Klinik,"Brunngasse 6, 8400 Winterthur",Brunngasse 6,8400,Winterthur,Zürich,https://www.onedoc.ch/de/klinik/winterthur/ew5g/eulach-klinik-ophthalmologische-klinik
Forel Klinik Ambulatorium - Psychiatrische Klinik,"Tödistrasse 46, 8002 Zürich",Tödistrasse 46,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewjc/forel-klinik-ambulatorium-psychiatrische-klinik
Forel Klinik - Psychiatrie Sucht stationär,"Islikonerstrasse 5, 8548 Ellikon an der Thur",Islikonerstrasse 5,8548,Ellikon an der Thur,Zürich,https://www.onedoc.ch/de/klinik/ellikon-an-der-thur/e0y0/forel-klinik-psychiatrie-sucht-stationar
Forel Klinik Tagesklinik,"Sihlquai 255, 8005 Zürich",Sihlquai 255,8005,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exdy/forel-klinik-tagesklinik
Forel Klinik Tagesklinik - Andere,"Sihlquai 255, 8005 Zürich",Sihlquai 255,8005,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewt4/forel-klinik-tagesklinik-andere
Frauen-Permanence Zürich - Gynäkologische Klinik,"Goethestrasse 24, 8001 Zürich",Goethestrasse 24,8001,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewkh/frauen-permanence-zurich-gynakologische-klinik
Gerontopsychiatrisches Zentrum Hegibach - Psychiatrische Klinik,"Minervastrasse 145, 8032 Zürich",Minervastrasse 145,8032,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewlx/gerontopsychiatrisches-zentrum-hegibach-psychiatrische-klinik
Gesundheitszentrum Dielsdorf - Ophthalmologische Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,https://www.onedoc.ch/de/klinik/dielsdorf/emkg/gesundheitszentrum-dielsdorf-ophthalmologische-klinik
Haus zur Pyramide - Gynäkologische Klinik,"Klausstrasse 10, 8008 Zürich",Klausstrasse 10,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew2v/haus-zur-pyramide-gynakologische-klinik
Hirslanden Klinik im Park - Herzgefässmedizin,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ez1g/hirslanden-klinik-im-park-herzgefassmedizin
Hirslanden Klinik Im Park Zürich - Ophthalmologische Klinik,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewxd/hirslanden-klinik-im-park-zurich-ophthalmologische-klinik
IREM - Institut f. Regen.Medizin - Psychiatrische Klinik,"Wagistrasse 12, 8952 Schlieren",Wagistrasse 12,8952,Schlieren,Zürich,https://www.onedoc.ch/de/klinik/schlieren/exi8/irem-institut-f-regen-medizin-psychiatrische-klinik
Klinik für Kinder- und Jugendpsychiatrie und Psychotherapie Ambulatorium Horgen,"Bahnhofstrasse 6, 8810 Horgen",Bahnhofstrasse 6,8810,Horgen,Zürich,https://www.onedoc.ch/de/klinik/horgen/ew2y/klinik-fur-kinder-und-jugendpsychiatrie-und-psychotherapie-ambulatorium-horgen
Klinik Hirslanden Zürich,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eysy/klinik-hirslanden-zurich
Klinik Hirslanden Zürich - Anästhesie Intensiv,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ey4f/klinik-hirslanden-zurich-anasthesie-intensiv
Klinik Hirslanden Zürich - Beratung Adipositas,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exvq/klinik-hirslanden-zurich-beratung-adipositas
Klinik Hirslanden Zürich - Chirurgie Allgemein,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eq2l/klinik-hirslanden-zurich-chirurgie-allgemein
Klinik Hirslanden Zürich - Chirurgie Hand,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e04h/klinik-hirslanden-zurich-chirurgie-hand
Klinik Hirslanden Zürich - Chirurgie Herz/Thorax/Gefässe,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/euhc/klinik-hirslanden-zurich-chirurgie-herz-thorax-gefasse
Klinik Hirslanden Zürich - Chirurgie Kiefer,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eto6/klinik-hirslanden-zurich-chirurgie-kiefer
Klinik Hirslanden Zürich - Chirurgie Neuro,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/et4t/klinik-hirslanden-zurich-chirurgie-neuro
Klinik Hirslanden Zürich - Chirurgie Orthopädische,"Witellikerstrasse 40, 8032 Zürich",Witellikerstrasse 40,8032,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ett7/klinik-hirslanden-zurich-chirurgie-orthopadische
Klinik Hirslanden Zürich - Chirurgie Plastische,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eude/klinik-hirslanden-zurich-chirurgie-plastische
Klinik Hirslanden Zürich - Chirurgie Viszeral,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew9o/klinik-hirslanden-zurich-chirurgie-viszeral
Klinik Hirslanden Zürich - Dermatologische Klinik,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewf8/klinik-hirslanden-zurich-dermatologische-klinik
Klinik Hirslanden Zürich - Fusschirurgie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0zq/klinik-hirslanden-zurich-fusschirurgie
Klinik Hirslanden Zürich - Gastroenterologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exen/klinik-hirslanden-zurich-gastroenterologie
Klinik Hirslanden Zürich - Gefässchirurgie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ezuv/klinik-hirslanden-zurich-gefasschirurgie
Klinik Hirslanden Zürich - Hämatologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exg9/klinik-hirslanden-zurich-hamatologie
Klinik Hirslanden Zürich - Infektiologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exmp/klinik-hirslanden-zurich-infektiologie
Klinik Hirslanden Zürich - Kardiologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eq7g/klinik-hirslanden-zurich-kardiologie
Klinik Hirslanden Zürich - Kinderklinik,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewhb/klinik-hirslanden-zurich-kinderklinik
Klinik Hirslanden Zürich - Medizin Genetik,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/expw/klinik-hirslanden-zurich-medizin-genetik
Klinik Hirslanden Zürich - Mikrotherapie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ezyx/klinik-hirslanden-zurich-mikrotherapie
Klinik Hirslanden Zürich - Neurologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eqzh/klinik-hirslanden-zurich-neurologie
Klinik Hirslanden Zürich - Neuroradiologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0vt/klinik-hirslanden-zurich-neuroradiologie
Klinik Hirslanden Zürich - NotfallZentrum,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0r6/klinik-hirslanden-zurich-notfallzentrum
Klinik Hirslanden Zürich - Nuklearmedizin,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0vb/klinik-hirslanden-zurich-nuklearmedizin
Klinik Hirslanden Zürich - Onkologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/er4i/klinik-hirslanden-zurich-onkologie
Klinik Hirslanden Zürich - Ophthalmologische Klinik,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew2t/klinik-hirslanden-zurich-ophthalmologische-klinik
Klinik Hirslanden Zürich - ORL Klinik,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewsu/klinik-hirslanden-zurich-orl-klinik
Klinik Hirslanden Zürich - Pharmakologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exmu/klinik-hirslanden-zurich-pharmakologie
Klinik Hirslanden Zürich - Pneumologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewhi/klinik-hirslanden-zurich-pneumologie
Klinik Hirslanden Zürich - Radiologische Klinik,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0v5/klinik-hirslanden-zurich-radiologische-klinik
Klinik Hirslanden Zürich - Radioonkologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ezzu/klinik-hirslanden-zurich-radioonkologie
Klinik Hirslanden Zürich - Reproduktions-Endokrinologie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e030/klinik-hirslanden-zurich-reproduktions-endokrinologie
Klinik Hirslanden Zürich - Rheumatologische Klinik,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew49/klinik-hirslanden-zurich-rheumatologische-klinik
Klinik Hirslanden Zürich - Sportmedizin,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewzb/klinik-hirslanden-zurich-sportmedizin
Klinik Hirslanden Zürich - Tropenmedizin / Reisemedizin,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exnx/klinik-hirslanden-zurich-tropenmedizin-reisemedizin
Klinik Hirslanden Zürich - Urologische Klinik,"Witellikerstrasse 40, 8032 Zürich",Witellikerstrasse 40,8032,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eq5z/klinik-hirslanden-zurich-urologische-klinik
Klinik Hirslanden Zürich - Wirbelsäulenmedizin,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/epne/klinik-hirslanden-zurich-wirbelsaulenmedizin
Klinik Im Park - Medizinische Onkologie,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ez4z/klinik-im-park-medizinische-onkologie
Klinik Im Park Zürich - Anästhesie Allgemein,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0t8/klinik-im-park-zurich-anasthesie-allgemein
Klinik Im Park Zürich - Angiologie,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewf6/klinik-im-park-zurich-angiologie
Klinik Im Park Zürich - Chirurgie Allgemein,"Bellariastrasse 38, 8038 Zürich",Bellariastrasse 38,8038,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eq2x/klinik-im-park-zurich-chirurgie-allgemein
Klinik Im Park Zürich - Chirurgie Herz/Thorax/Gefässe,"Bellariastrasse 38, 8038 Zürich",Bellariastrasse 38,8038,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e01n/klinik-im-park-zurich-chirurgie-herz-thorax-gefasse
Klinik Im Park Zürich - Chirurgie Kiefer,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exjl/klinik-im-park-zurich-chirurgie-kiefer
Klinik Im Park Zürich - Chirurgie Neuro,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eq4x/klinik-im-park-zurich-chirurgie-neuro
Klinik Im Park Zürich - Chirurgie Orthopädische,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eyuj/klinik-im-park-zurich-chirurgie-orthopadische
Klinik Im Park Zürich - Chirurgie Plastische,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ews2/klinik-im-park-zurich-chirurgie-plastische
Klinik Im Park Zürich - Chirurgie Unfall,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew83/klinik-im-park-zurich-chirurgie-unfall
Klinik Im Park Zürich - Chirurgie Viszeral,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ex26/klinik-im-park-zurich-chirurgie-viszeral
Klinik Im Park Zürich - Dermatologische Klinik,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew0r/klinik-im-park-zurich-dermatologische-klinik
Klinik Im Park Zürich - Gastroenterologie,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/excl/klinik-im-park-zurich-gastroenterologie
Klinik Im Park Zürich - Gefässchirurgie,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/et3v/klinik-im-park-zurich-gefasschirurgie
Klinik Im Park Zürich - Hämatologie,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ex0z/klinik-im-park-zurich-hamatologie
Klinik Im Park Zürich - Infektiologie,"Bellariastrasse 38, 8038 Zürich",Bellariastrasse 38,8038,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew9c/klinik-im-park-zurich-infektiologie
Klinik Im Park Zürich - Innere Medizin,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0r2/klinik-im-park-zurich-innere-medizin
Klinik Im Park Zürich - Kinderklinik,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exyj/klinik-im-park-zurich-kinderklinik
Klinik Im Park Zürich - Nephrologie,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ex22/klinik-im-park-zurich-nephrologie
Klinik Im Park Zürich - Neurologie,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewva/klinik-im-park-zurich-neurologie
Klinik Im Park Zürich - Notfallstation,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0uk/klinik-im-park-zurich-notfallstation
Klinik Im Park Zürich - ORL Klinik,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewyt/klinik-im-park-zurich-orl-klinik
Klinik Im Park Zürich - Pneumologie,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew1g/klinik-im-park-zurich-pneumologie
Klinik Im Park Zürich - Psychiatrische Klinik,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exf5/klinik-im-park-zurich-psychiatrische-klinik
Klinik Im Park Zürich - Radiologische Klinik,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0yw/klinik-im-park-zurich-radiologische-klinik
Klinik Im Park Zürich - Rheumatologische Klinik,"Bellariastrasse 38, 8038 Zürich",Bellariastrasse 38,8038,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewuj/klinik-im-park-zurich-rheumatologische-klinik
Klinik Im Park Zürich - Zahnmedizinische Klinik,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/excs/klinik-im-park-zurich-zahnmedizinische-klinik
Klinik Lengg - Kinderklinik,"Bleulerstrasse 60, 8008 Zürich",Bleulerstrasse 60,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewzg/klinik-lengg-kinderklinik
Klinik Lengg - Neurologie,"Bleulerstrasse 60, 8008 Zürich",Bleulerstrasse 60,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0we/klinik-lengg-neurologie
Klinik Pyramide am See,"Bellerivestrasse 34, 8034 Zürich",Bellerivestrasse 34,8034,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exhv/klinik-pyramide-am-see
Klinik Pyramide am See,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exsc/klinik-pyramide-am-see
Klinik Pyramide am See Zürich - Anästhesie Allgemein,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0un/klinik-pyramide-am-see-zurich-anasthesie-allgemein
Klinik Pyramide am See Zürich - Angiologie,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ex1v/klinik-pyramide-am-see-zurich-angiologie
Klinik Pyramide am See Zürich - Brustzentrum/Chirurgie,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0yh/klinik-pyramide-am-see-zurich-brustzentrum-chirurgie
Klinik Pyramide am See Zürich - Chirurgie Allgemein,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eztn/klinik-pyramide-am-see-zurich-chirurgie-allgemein
Klinik Pyramide am See Zürich - Chirurgie Hand,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0zu/klinik-pyramide-am-see-zurich-chirurgie-hand
Klinik Pyramide am See Zürich - Chirurgie Kiefer,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e02e/klinik-pyramide-am-see-zurich-chirurgie-kiefer
Klinik Pyramide am See Zürich - Chirurgie Orthopädische,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eq1s/klinik-pyramide-am-see-zurich-chirurgie-orthopadische
Klinik Pyramide am See Zürich - Chirurgie Réparatrice/Plastique,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/eztk/klinik-pyramide-am-see-zurich-chirurgie-reparatrice-plastique
Klinik Pyramide am See Zürich - Endo/Diabetologie,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exra/klinik-pyramide-am-see-zurich-endo-diabetologie
Klinik Pyramide am See Zürich - Innere Medizin,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e016/klinik-pyramide-am-see-zurich-innere-medizin
Klinik Pyramide am See Zürich - Ophthalmologische Klinik,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0xo/klinik-pyramide-am-see-zurich-ophthalmologische-klinik
Klinik Pyramide am See Zürich - ORL Klinik,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0ut/klinik-pyramide-am-see-zurich-orl-klinik
Klinik Pyramide am See Zürich - Psychiatrische Klinik,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exm2/klinik-pyramide-am-see-zurich-psychiatrische-klinik
Klinik Pyramide am See Zürich - Rheumatologische Klinik,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ewqq/klinik-pyramide-am-see-zurich-rheumatologische-klinik
Klinik Schlosstal / IPW - Psych. Ambulatorium,"Technikumstrasse 81, 8408 Winterthur",Technikumstrasse 81,8408,Winterthur,Zürich,https://www.onedoc.ch/de/klinik/winterthur/eyh3/klinik-schlosstal-ipw-psych-ambulatorium
Klinik Sonnhalde - Psychiatrische Klinik,"Gerbi-Strasse 9, 8627 Grüningen",Gerbi-Strasse 9,8627,Grüningen,Zürich,https://www.onedoc.ch/de/klinik/gruningen/ew85/klinik-sonnhalde-psychiatrische-klinik
