name,address,street,postal_code,city,canton,phone_number,professions,url
Praxis Dr. med. Fédier Remo,"Rosenstrasse 8, 8600 Dübendorf",Rosenstrasse 8,8600,Dübendorf,Zürich,044 822 57 57,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/dubendorf/exyt/praxis-dr-med-fedier-remo
Praxis Dr. med. Fehr Peter,"Hardturmstrasse 11, 8005 Zürich",Hardturmstrasse 11,8005,Zürich,Zürich,044 735 66 00,Gynäkologie und Geburtshilfe,https://www.onedoc.ch/de/medizinische-praxis/zurich/eyie/praxis-dr-med-fehr-peter
Praxis Dr. med. Feigel Mischa,"Florastrasse 50, 8008 Zürich",Florastrasse 50,8008,Zürich,Zürich,043 499 16 99,Chirurgie,https://www.onedoc.ch/de/medizinische-praxis/zurich/eug2/praxis-dr-med-feigel-mischa
Praxis Dr. med. Feinendegen Dominik,"Dufourstrasse 38, 8702 Zollikon",Dufourstrasse 38,8702,Zollikon,Zürich,044 383 15 65,"Plastische, rekonstruktive und ästhetische Chirurgie",https://www.onedoc.ch/de/medizinische-praxis/zollikon/eudd/praxis-dr-med-feinendegen-dominik
Praxis Dr. med. Felder Markus,"Gartenstrasse 14, 8002 Zürich",Gartenstrasse 14,8002,Zürich,Zürich,044 281 31 40,"Physikalische und Rehabilitative Medizin, Rheumatologie",https://www.onedoc.ch/de/medizinische-praxis/zurich/exyu/praxis-dr-med-felder-markus
Praxis Dr. med. Fellas Antonia,"Bahnhofplatz 1A, 8304 Wallisellen",Bahnhofplatz 1A,8304,Wallisellen,Zürich,044 832 58 58,Dermatologie und Venerologie,https://www.onedoc.ch/de/medizinische-praxis/wallisellen/ewl4/praxis-dr-med-fellas-antonia
Praxis Dr. med. Fenner Thomas,"Asylstrasse 58, 8032 Zürich",Asylstrasse 58,8032,Zürich,Zürich,044 252 20 90,"HNO (Hals-, Nasen-, Ohrenheilkunde)",https://www.onedoc.ch/de/medizinische-praxis/zurich/exyv/praxis-dr-med-fenner-thomas
Praxis Dr. med. Ferrazzini Gabriele,"Winterthurerstrasse 514, 8051 Zürich",Winterthurerstrasse 514,8051,Zürich,Zürich,044 322 24 44,"Hausarztmedizin (Allgemeinmedizin), Pädiatrie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew2f/praxis-dr-med-ferrazzini-gabriele
Praxis Dr. med. Ferrazzini Gianmario,"Winterthurerstrasse 514, 8051 Zürich",Winterthurerstrasse 514,8051,Zürich,Zürich,044 322 24 44,Pädiatrie,https://www.onedoc.ch/de/medizinische-praxis/zurich/exyw/praxis-dr-med-ferrazzini-gianmario
Praxis Dr. med. Fetkenheuer Norbert,"Grütstrasse 55, 8802 Kilchberg",Grütstrasse 55,8802,Kilchberg,Zürich,044 771 78 78,Gynäkologie und Geburtshilfe,https://www.onedoc.ch/de/medizinische-praxis/kilchberg/exyx/praxis-dr-med-fetkenheuer-norbert
Praxis Dr. med. Feuchter Karsta,"Morgental 35, 8126 Zumikon",Morgental 35,8126,Zumikon,Zürich,043 222 31 22,Anästhesiologie,https://www.onedoc.ch/de/medizinische-praxis/zumikon/ew2g/praxis-dr-med-feuchter-karsta
Praxis Dr. med. Fierz Anna,"Kalkbreitestrasse 8, 8003 Zürich",Kalkbreitestrasse 8,8003,Zürich,Zürich,044 252 80 65,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/zurich/ew2l/praxis-dr-med-fierz-anna
Praxis Dr. med. Fischer Heinrich-Peter,"Seestrasse 11, 8703 Erlenbach",Seestrasse 11,8703,Erlenbach,Zürich,044 260 81 69,"Allgemeine Innere Medizin, Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/erlenbach/e03l/praxis-dr-med-fischer-heinrich-peter
Praxis Dr. med. Fischer Markus,"Wartstrasse 3, 8400 Winterthur",Wartstrasse 3,8400,Winterthur,Zürich,052 212 64 64,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/winterthur/exyz/praxis-dr-med-fischer-markus
Praxis Dr. med. Fischer Urs,"Feldstrasse 14, 8400 Winterthur",Feldstrasse 14,8400,Winterthur,Zürich,052 222 71 71,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/winterthur/eym8/praxis-dr-med-fischer-urs
Praxis Dr. med. Fischer Ursin,"Stadthausstrasse 12, 8400 Winterthur",Stadthausstrasse 12,8400,Winterthur,Zürich,052 232 60 00,"HNO (Hals-, Nasen-, Ohrenheilkunde)",https://www.onedoc.ch/de/medizinische-praxis/winterthur/exy1/praxis-dr-med-fischer-ursin
Praxis Dr. med. Fischer-Yildirim Andrea,"Palmstrasse 28, 8400 Winterthur",Palmstrasse 28,8400,Winterthur,Zürich,052 212 49 77,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/winterthur/eygo/praxis-dr-med-fischer-yildirim-andrea
Praxis Dr. med. Fischli Sarah,"Steinmüristrasse 2, 8330 Pfäffikon ZH",Steinmüristrasse 2,8330,Pfäffikon ZH,Zürich,043 497 78 38,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/pfaffikon/ew2p/praxis-dr-med-fischli-sarah
Praxis Dr. med. Flade Wilfried,"Oberdorfstrasse 23, 8820 Wädenswil",Oberdorfstrasse 23,8820,Wädenswil,Zürich,044 780 41 41,"Allgemeine Innere Medizin, Pneumologie",https://www.onedoc.ch/de/medizinische-praxis/wadenswil/exy3/praxis-dr-med-flade-wilfried
Praxis Dr. med. Flepp Markus,"Bellariastrasse 38, 8038 Zürich",Bellariastrasse 38,8038,Zürich,Zürich,044 209 20 60,"Allgemeine Innere Medizin, Infektiologie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew9b/praxis-dr-med-flepp-markus
Praxis Dr. med. Flögel Walter,"Brunngasse 18, 8001 Zürich",Brunngasse 18,8001,Zürich,Zürich,044 265 60 40,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/zurich/exy5/praxis-dr-med-flogel-walter
Praxis Dr. med. Floria Ramona,"Freiestrasse 90, 8032 Zürich",Freiestrasse 90,8032,Zürich,Zürich,044 250 44 43,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew2r/praxis-dr-med-floria-ramona
Praxis Dr. med. Flüeler Ursula,"Asylstrasse 81/beim Römerhof, 8032 Zürich",Asylstrasse 81/beim Römerhof,8032,Zürich,Zürich,044 251 50 05,"Augenheilkunde, Pädiatrie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew2s/praxis-dr-med-flueler-ursula
Praxis Dr. med. Flury Daniel,"Bahnhofstrasse 10, 8302 Kloten",Bahnhofstrasse 10,8302,Kloten,Zürich,044 813 04 04,"HNO (Hals-, Nasen-, Ohrenheilkunde)",https://www.onedoc.ch/de/medizinische-praxis/kloten/exy6/praxis-dr-med-flury-daniel
Praxis Dr. med. Fontana Helen,"Klausstrasse 10, 8008 Zürich",Klausstrasse 10,8008,Zürich,Zürich,043 336 72 60,Gynäkologie und Geburtshilfe,https://www.onedoc.ch/de/medizinische-praxis/zurich/ew2u/praxis-dr-med-fontana-helen
Praxis Dr. med. Fournichot-Polackova Yvette,"Uitikonerstrasse 9b, 8952 Schlieren",Uitikonerstrasse 9b,8952,Schlieren,Zürich,044 730 03 77,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/schlieren/ew2x/praxis-dr-med-fournichot-polackova-yvette
Praxis Dr. med. Frauenfelder Markus,"Bhofwis 10, 8332 Russikon",Bhofwis 10,8332,Russikon,Zürich,044 954 05 44,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/russikon/exza/praxis-dr-med-frauenfelder-markus
Praxis Dr. med. Freidel Stefan,"Freiestrasse 4, 8610 Uster",Freiestrasse 4,8610,Uster,Zürich,043 536 32 66,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/uster/exzk/praxis-dr-med-freidel-stefan
Praxis Dr. med. Frei Luzius,"Simmlersteig 14, 8038 Zürich",Simmlersteig 14,8038,Zürich,Zürich,044 482 01 70,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/zurich/exrv/praxis-dr-med-frei-luzius
Praxis Dr. med. Frei Pascal,"Toblerstrasse 51, 8044 Zürich",Toblerstrasse 51,8044,Zürich,Zürich,043 268 79 64,"Allgemeine Innere Medizin, Gastroenterologie",https://www.onedoc.ch/de/medizinische-praxis/zurich/e03p/praxis-dr-med-frei-pascal
Praxis Dr. med. Frei Thomas,"Dorfstrasse 78, 8706 Meilen",Dorfstrasse 78,8706,Meilen,Zürich,044 923 38 88,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/meilen/eyif/praxis-dr-med-frei-thomas
Praxis Dr. med. Frei-Thomet Carole,"Sennweidstrasse 1A, 8608 Bubikon",Sennweidstrasse 1A,8608,Bubikon,Zürich,055 243 41 64,Kinder- und Jugendpsychiatrie,https://www.onedoc.ch/de/medizinische-praxis/bubikon/ew20/praxis-dr-med-frei-thomet-carole
Praxis Dr. med. Frey Markus,"Bahnhofstrasse 16, 8304 Wallisellen",Bahnhofstrasse 16,8304,Wallisellen,Zürich,044 830 20 10,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/wallisellen/eyhv/praxis-dr-med-frey-markus
Praxis Dr. med. Frey Peter,"Weberrütistrasse 3, 8833 Samstagern",Weberrütistrasse 3,8833,Samstagern,Zürich,044 784 11 66,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/samstagern/eym9/praxis-dr-med-frey-peter
Praxis Dr. med. Frey Philipp,"Toblerstrasse 51, 8044 Zürich",Toblerstrasse 51,8044,Zürich,Zürich,043 268 28 70,Orthopädische Chirurgie,https://www.onedoc.ch/de/medizinische-praxis/zurich/e03q/praxis-dr-med-frey-philipp
Praxis Dr. med. Frey Reto Arthur,"Albisriederplatz 3, 8003 Zürich",Albisriederplatz 3,8003,Zürich,Zürich,044 491 24 25,"Allgemeine Innere Medizin, Rheumatologie",https://www.onedoc.ch/de/medizinische-praxis/zurich/exzl/praxis-dr-med-frey-reto-arthur
Praxis Dr. med. Frick Eugen,"Eisengasse 2/Seefeldstrasse 55, 8008 Zürich",Eisengasse 2/Seefeldstrasse 55,8008,Zürich,Zürich,044 252 02 25,"Allgemeine Innere Medizin, Angiologie",https://www.onedoc.ch/de/medizinische-praxis/zurich/exzn/praxis-dr-med-frick-eugen
Praxis Dr. med. Frick Hannes,"Haldenstrasse 30, 8942 Oberrieden",Haldenstrasse 30,8942,Oberrieden,Zürich,044 720 13 66,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/oberrieden/exzp/praxis-dr-med-frick-hannes
Praxis Dr. med. Friedmann Robert Joel,"Birmensdorferstrasse 191, 8003 Zürich",Birmensdorferstrasse 191,8003,Zürich,Zürich,044 451 14 44,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/zurich/exzr/praxis-dr-med-friedmann-robert-joel
Praxis Dr. med. Friedrich Eckhardt,"Weinbergstrasse 147, 8006 Zürich",Weinbergstrasse 147,8006,Zürich,Zürich,044 350 31 34,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/exzs/praxis-dr-med-friedrich-eckhardt
Praxis Dr. med. Fritsche Erich,"Klosbachstrasse 2, 8032 Zürich",Klosbachstrasse 2,8032,Zürich,Zürich,044 383 50 70,Gynäkologie und Geburtshilfe,https://www.onedoc.ch/de/medizinische-praxis/zurich/exzt/praxis-dr-med-fritsche-erich
Praxis Dr. med. Fritz-Naville Marco,"Zeltweg 4, 8032 Zürich",Zeltweg 4,8032,Zürich,Zürich,044 251 64 44,Gynäkologie und Geburtshilfe,https://www.onedoc.ch/de/medizinische-praxis/zurich/exzu/praxis-dr-med-fritz-naville-marco
Praxis Dr. med. Fritzsche Markus,"Soodstrasse 13, 8134 Adliswil",Soodstrasse 13,8134,Adliswil,Zürich,044 710 93 43,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/adliswil/exrw/praxis-dr-med-fritzsche-markus
Praxis Dr. med. Fröhner Martin,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,044 209 21 11,Anästhesiologie,https://www.onedoc.ch/de/medizinische-praxis/zurich/e03s/praxis-dr-med-frohner-martin
Praxis Dr. med. Fuchs Werner,"Dorfstrasse 122, 8706 Meilen",Dorfstrasse 122,8706,Meilen,Zürich,044 923 60 40,"Allgemeine Innere Medizin, Rheumatologie",https://www.onedoc.ch/de/medizinische-praxis/meilen/exzv/praxis-dr-med-fuchs-werner
Praxis Dr. med. Fuchs Werner Joachim,"Poststrasse 6, 8610 Uster",Poststrasse 6,8610,Uster,Zürich,043 466 90 90,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/uster/eyih/praxis-dr-med-fuchs-werner-joachim
Praxis Dr. med. Funk Christian,"Toblerstrasse 51, 8044 Zürich",Toblerstrasse 51,8044,Zürich,Zürich,043 268 79 64,"Allgemeine Innere Medizin, Gastroenterologie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ews4/praxis-dr-med-funk-christian
Praxis Dr. med. Fürpasz Richard,"Bahnhofstrasse 69, 8620 Wetzikon",Bahnhofstrasse 69,8620,Wetzikon,Zürich,044 930 62 63,"Allgemeine Innere Medizin, Gynäkologie und Geburtshilfe",https://www.onedoc.ch/de/medizinische-praxis/wetzikon/exzx/praxis-dr-med-furpasz-richard
Praxis Dr. med. Furrer Andreas Michael,"Nelkenstrasse 5, 8400 Winterthur",Nelkenstrasse 5,8400,Winterthur,Zürich,052 212 75 55,Gynäkologie und Geburtshilfe,https://www.onedoc.ch/de/medizinische-praxis/winterthur/exzy/praxis-dr-med-furrer-andreas-michael
Praxis Dr. med. Furrer Fredi,"Seestrasse 129, 8002 Zürich",Seestrasse 129,8002,Zürich,Zürich,044 209 22 86,Urologie,https://www.onedoc.ch/de/medizinische-praxis/zurich/exzz/praxis-dr-med-furrer-fredi
Praxis Dr. med. Furrer Thomas,"Mühlebachstrasse 43, 8008 Zürich",Mühlebachstrasse 43,8008,Zürich,Zürich,044 252 22 00,"Mund-, Kiefer- und Gesichtschirurgie, Oralchirurgie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew7a/praxis-dr-med-furrer-thomas
Praxis Dr. med. Füssler Chantal,"Humbelrain 43, 8824 Schönenberg ZH",Humbelrain 43,8824,Schönenberg ZH,Zürich,044 785 01 01,,https://www.onedoc.ch/de/medizinische-praxis/schonenberg-zh/ew28/praxis-dr-med-fussler-chantal
Praxis Dr. med. Fux Elger,"Brandstrasse 6b, 8610 Uster",Brandstrasse 6b,8610,Uster,Zürich,044 941 65 77,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/uster/exz1/praxis-dr-med-fux-elger
Praxis Dr. med. Gadola,"Bergstrasse 8, 8353 Elgg",Bergstrasse 8,8353,Elgg,Zürich,052 364 12 12,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/elgg/ew3a/praxis-dr-med-gadola
Praxis Dr. med. Gähwiler Thomas,"Herschärenstrasse 2, 8633 Bubikon",Herschärenstrasse 2,8633,Bubikon,Zürich,055 243 24 24,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/bubikon/exz2/praxis-dr-med-gahwiler-thomas
Praxis Dr. med. Galig Ladislaus,"Watterstrasse 63, 8105 Regensdorf",Watterstrasse 63,8105,Regensdorf,Zürich,044 840 60 60,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/regensdorf/exz4/praxis-dr-med-galig-ladislaus
Praxis Dr. med. Galik Johann,"Wilstrasse 55, 8600 Dübendorf",Wilstrasse 55,8600,Dübendorf,Zürich,044 821 44 47,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/dubendorf/exz5/praxis-dr-med-galik-johann
Praxis Dr. med. Gallmann Caesar,"Unterortstrasse 5d, 8804 Au ZH",Unterortstrasse 5d,8804,Au ZH,Zürich,043 833 07 07,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/au/exz6/praxis-dr-med-gallmann-caesar
Praxis Dr. med. Gallmann Martin,"Neuhausstrasse 15, 8600 Dübendorf",Neuhausstrasse 15,8600,Dübendorf,Zürich,044 820 13 10,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/dubendorf/exz7/praxis-dr-med-gallmann-martin
Praxis Dr. med. Gallmann Maya,"Obstgartenstrasse 20, 8006 Zürich",Obstgartenstrasse 20,8006,Zürich,Zürich,043 255 04 66,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew3c/praxis-dr-med-gallmann-maya
Praxis Dr. med. Gallmann Thomas,"Gemeindestrasse 51, 8032 Zürich",Gemeindestrasse 51,8032,Zürich,Zürich,044 383 14 74,Pädiatrie,https://www.onedoc.ch/de/medizinische-praxis/zurich/exz8/praxis-dr-med-gallmann-thomas
Praxis Dr. med. Galovic Dunja,"Schulstrasse 26, 8330 Pfäffikon ZH",Schulstrasse 26,8330,Pfäffikon ZH,Zürich,044 950 39 40,"Allgemeine Innere Medizin, Physikalische und Rehabilitative Medizin, Rheumatologie",https://www.onedoc.ch/de/medizinische-praxis/pfaffikon/ew3d/praxis-dr-med-galovic-dunja
Praxis Dr. med. Gal Stefan,"Rämistrasse 38, 8001 Zürich",Rämistrasse 38,8001,Zürich,Zürich,044 267 40 00,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/zurich/exz3/praxis-dr-med-gal-stefan
Praxis Dr. med. Gamisch Reinhard,"Buchzelgstrasse 64, 8053 Zürich",Buchzelgstrasse 64,8053,Zürich,Zürich,044 381 27 20,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/zurich/exz9/praxis-dr-med-gamisch-reinhard
Praxis Dr. med. Gantenbein Urs Leo,"Ackeretstrasse 16, 8400 Winterthur",Ackeretstrasse 16,8400,Winterthur,Zürich,052 223 03 30,"Allgemeine Innere Medizin, Homöopathie",https://www.onedoc.ch/de/medizinische-praxis/winterthur/ex0a/praxis-dr-med-gantenbein-urs-leo
Praxis Dr. med. Ganzoni Andrea,"Florastrasse 16, 8632 Tann",Florastrasse 16,8632,Tann,Zürich,055 241 11 32,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/tann/ex0b/praxis-dr-med-ganzoni-andrea
Praxis Dr. med. Gardanis Konstantinos,"Stockerstrasse 42, 8002 Zürich",Stockerstrasse 42,8002,Zürich,Zürich,044 201 76 66,Gynäkologie und Geburtshilfe,https://www.onedoc.ch/de/medizinische-praxis/zurich/ex0c/praxis-dr-med-gardanis-konstantinos
Praxis Dr. med. Gaspert Tomislav,"Seestrasse 220, 8002 Zürich",Seestrasse 220,8002,Zürich,Zürich,044 209 21 11,"Anästhesiologie, Intensivmedizin",https://www.onedoc.ch/de/medizinische-praxis/zurich/e03u/praxis-dr-med-gaspert-tomislav
Praxis Dr. med. Gasser Thomas,"Löwenstrasse 28, 8953 Dietikon",Löwenstrasse 28,8953,Dietikon,Zürich,044 744 40 00,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/dietikon/eyii/praxis-dr-med-gasser-thomas
Praxis Dr. med. Gassner Sager Marlis,"Obere Kirchgasse 2, 8400 Winterthur",Obere Kirchgasse 2,8400,Winterthur,Zürich,052 202 88 33,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/winterthur/ew3h/praxis-dr-med-gassner-sager-marlis
Praxis Dr. med. Gazdik Barbara,"Universitätstrasse 67, 8006 Zürich",Universitätstrasse 67,8006,Zürich,Zürich,043 255 01 94,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew3i/praxis-dr-med-gazdik-barbara
Praxis Dr. med. Gehret Germann Anouk,"Untere Kirchgasse 2, 8400 Winterthur",Untere Kirchgasse 2,8400,Winterthur,Zürich,052 213 02 00,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/winterthur/ew3p/praxis-dr-med-gehret-germann-anouk
Praxis Dr. med. Gehrig Peter,"Minervastrasse 99, 8032 Zürich",Minervastrasse 99,8032,Zürich,Zürich,044 251 66 60,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ex0g/praxis-dr-med-gehrig-peter
Praxis Dr. med. Geiges Michael Lukas,"Marktgasse 3, 8302 Kloten",Marktgasse 3,8302,Kloten,Zürich,044 804 30 40,Dermatologie und Venerologie,https://www.onedoc.ch/de/medizinische-praxis/kloten/ex0i/praxis-dr-med-geiges-michael-lukas
Praxis Dr. med. Geissmann Hans-Rudolf,"Sennweidstrasse 1a, 8608 Bubikon",Sennweidstrasse 1a,8608,Bubikon,Zürich,055 243 29 39,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/bubikon/ex0j/praxis-dr-med-geissmann-hans-rudolf
Praxis Dr. med. Geiss Steiner Jana,"Culmannstrasse 10, 8006 Zürich",Culmannstrasse 10,8006,Zürich,Zürich,044 455 50 00,"Allgemeine Innere Medizin, Dermatologie und Venerologie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew3r/praxis-dr-med-geiss-steiner-jana
Praxis Dr. med. Geistlich Sabine,"Zollikerstrasse 87, 8008 Zürich",Zollikerstrasse 87,8008,Zürich,Zürich,043 344 83 44,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew3s/praxis-dr-med-geistlich-sabine
Praxis Dr. med. George Cédric,"Bellerivestrasse 34, 8008 Zürich",Bellerivestrasse 34,8008,Zürich,Zürich,044 388 15 15,"Plastische, rekonstruktive und ästhetische Chirurgie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ezti/praxis-dr-med-george-cedric
Praxis Dr. med. Georgescu Carmina-Lucia,"Winterthurerstrasse 60, 8006 Zürich",Winterthurerstrasse 60,8006,Zürich,Zürich,044 362 32 33,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew3t/praxis-dr-med-georgescu-carmina-lucia
Praxis Dr. med. Georgiopoulos Georg,"Zeltweg 27, 8032 Zürich",Zeltweg 27,8032,Zürich,Zürich,044 262 29 00,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/zurich/ex0k/praxis-dr-med-georgiopoulos-georg
Praxis Dr. med. Gerber Rolf,"Klosbachstrasse 106, 8008 Zürich",Klosbachstrasse 106,8008,Zürich,Zürich,044 383 58 97,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/eyij/praxis-dr-med-gerber-rolf
Praxis Dr. med. Gerber Thomas,"Bellariastrasse 38, 8038 Zürich",Bellariastrasse 38,8038,Zürich,Zürich,044 209 24 20,"Physikalische und Rehabilitative Medizin, Rheumatologie",https://www.onedoc.ch/de/medizinische-praxis/zurich/e03v/praxis-dr-med-gerber-thomas
