name,address,canton,url,Street / Number,ZIP Code,City
Augenärzte Stäfa Zentrum Bahnhof,"Bahnhofstrasse 25, 8712 Stäfa",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/stafa/e720/augenarzte-stafa-zentrum-bahnhof,Bahnhofstrasse 25,8712,Stäfa
Augenärzte Wetzikon Zentrum Leue,"Bahnhofstrasse 150, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/e721/augenarzte-wetzikon-zentrum-leue,Bahnhofstrasse 150,8620,Wetzikon
Augenärzte Zentrum Winterthur,"Scheideggstrasse 33, 8404 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/eba31/augenarzte-zentrum-winterthur,Scheideggstrasse 33,8404,Winterthur
Augenärzte Zürich Zentrum Schaffhauserplatz,"Weinbergstrasse 161, 8006 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e724/augenarzte-zurich-zentrum-schaffhauserplatz,Weinbergstrasse 161,8006,Zürich
Augenärzte Zürich Zentrum Wallisellen,"Bahnhofplatz 2, 8304 Wallisellen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/e725/augenarzte-zurich-zentrum-wallisellen,Bahnhofplatz 2,8304,Wallisellen
Augenarztzentrum Standort Limmatquai,"Limmatquai 94, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e1s8/augenarztzentrum-standort-limmatquai,Limmatquai 94,8001,Zürich
Augenarztzentrum Standort Seefeld (Hirslanden),"Seefeldstrasse 214, 8008 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e1s9/augenarztzentrum-standort-seefeld-hirslanden,Seefeldstrasse 214,8008,Zürich
Augentagesklinik Zürich Oberland,"Bahnhofstrasse 137, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/e722/augentagesklinik-zurich-oberland,Bahnhofstrasse 137,8620,Wetzikon
Augenzentrum Glattbrugg,"Schaffhauserstrasse 110, 8152 Glattbrugg",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/glattbrugg/ex3e/augenzentrum-glattbrugg,Schaffhauserstrasse 110,8152,Glattbrugg
Augenzentrum IROC,"Stockerstrasse 37, 8002 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/exk4/augenzentrum-iroc,Stockerstrasse 37,8002,Zürich
Augenzentrum ONO Bülach,"Sechtbachweg 2, 8180 Bülach",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/bulach/e9e0/augenzentrum-ono-bulach,Sechtbachweg 2,8180,Bülach
Augenzentrum ONO Glattbrugg,"Schaffhauserstrasse 110, 8152 Opfikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/opfikon/e1qr/augenzentrum-ono-glattbrugg,Schaffhauserstrasse 110,8152,Opfikon
Augenzentrum ONO Pfäffikon,"Turmstrasse 3, 8330 Pfäffikon ZH",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/pfaffikon/e4jc/augenzentrum-ono-pfaffikon,Turmstrasse 3,8330,Pfäffikon ZH
Augenzentrum ONO Volketswil,"Hofwiesenstrasse 4b, 8604 Volketswil",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/volketswil/e1qt/augenzentrum-ono-volketswil,Hofwiesenstrasse 4b,8604,Volketswil
Augenzentrum ONO Wallisellen,"Neue Winterthurerstrasse 99, 8304 Wallisellen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/eudu/augenzentrum-ono-wallisellen,Neue Winterthurerstrasse 99,8304,Wallisellen
Augenzentrum ONO Winterthur,"Oberfeldstrasse 158, 8408 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/e9e1/augenzentrum-ono-winterthur,Oberfeldstrasse 158,8408,Winterthur
Augenzentrum Volketswil Hofwiesenstrasse 4b Volketswil,"Hofwiesenstrasse 4b, 8604 Volketswil",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/volketswil/e03f/augenzentrum-volketswil-hofwiesenstrasse-4b-volketswil,Hofwiesenstrasse 4b,8604,Volketswil
Augenzentrum Watt,"Dorfstrasse 53, 8105 Watt",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/watt/exaz/augenzentrum-watt,Dorfstrasse 53,8105,Watt
Augenzentrum Wiedikon,"Birmensdorferstrasse 55, 8005 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eued/augenzentrum-wiedikon,Birmensdorferstrasse 55,8005,Zürich
Augenzentrum Winterthur,"Lagerhausstrasse 10, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewi8/augenzentrum-winterthur,Lagerhausstrasse 10,8400,Winterthur
B3-Praxis am Bahnhofplatz,"Bahnhofplatz 3, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/et1l/b3-praxis-am-bahnhofplatz,Bahnhofplatz 3,8001,Zürich
Bachtelpraxis,"Ettenhauserstrasse 13, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ew29/bachtelpraxis,Ettenhauserstrasse 13,8620,Wetzikon
Bergpraxis,"Bergstrasse 1, 8816 Hirzel",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/hirzel/ewzf/bergpraxis,Bergstrasse 1,8816,Hirzel
Chirurgisches Zentrum Zürich,"Witellikerstrasse 40, 8032 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/et5f/chirurgisches-zentrum-zurich,Witellikerstrasse 40,8032,Zürich
Clienia Gruppenpraxen Winterthur,"Neumarkt 4, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewgr/clienia-gruppenpraxen-winterthur,Neumarkt 4,8400,Winterthur
Dermatologikum Zürich,"Wallisellenstrasse 301a, 8050 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/euqs/dermatologikum-zurich,Wallisellenstrasse 301a,8050,Zürich
Dermatologisches Zentrum Zürich,"Beckenhofstrasse 6, 8006 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewjz/dermatologisches-zentrum-zurich,Beckenhofstrasse 6,8006,Zürich
Dermis - Hautklinik Zürich - Bülach,"Schaffhauserstrasse 53, 8180 Bülach",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/bulach/ewmc/dermis-hautklinik-zurich-bulach,Schaffhauserstrasse 53,8180,Bülach
Endoclinic Zürich,"Witellikerstrasse 40, 8008 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ett6/endoclinic-zurich,Witellikerstrasse 40,8008,Zürich
Fachärztezentrum Glatt,"Neue Winterthurerstrasse 99, 8304 Wallisellen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/erna/facharztezentrum-glatt,Neue Winterthurerstrasse 99,8304,Wallisellen
Fachärztezentrum Prisma,"Trichtenhauser Strasse 12, 8125 Zollikerberg",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zollikerberg/ewye/facharztezentrum-prisma,Trichtenhauser Strasse 12,8125,Zollikerberg
Fachgruppe Trans,"Stolzestrasse 3, 8006 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e02a/fachgruppe-trans,Stolzestrasse 3,8006,Zürich
Flor Gesundheitszentrum Uster,"Loren-Allee 20, 8610 Uster",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/uster/ewiq/flor-gesundheitszentrum-uster,Loren-Allee 20,8610,Uster
Flor Gesundheitszentrum Volketswil,"Hofwiesenstrasse 4b, 8604 Volketswil",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/volketswil/ewhk/flor-gesundheitszentrum-volketswil,Hofwiesenstrasse 4b,8604,Volketswil
Frauengesundheitszentrum,"Rämistrasse 35, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewpw/frauengesundheitszentrum,Rämistrasse 35,8001,Zürich
Frauenpraxis Winterthur,"Lindstrasse 15, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewl5/frauenpraxis-winterthur,Lindstrasse 15,8400,Winterthur
Gemeinschaftspraxis Rümlang,"Glattalstrasse 204, 8153 Rümlang",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/rumlang/ewvp/gemeinschaftspraxis-rumlang,Glattalstrasse 204,8153,Rümlang
Gruppenpraxis Fällanden,"Unterdorfstrasse 3, 8117 Fällanden",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/fallanden/ewlg/gruppenpraxis-fallanden,Unterdorfstrasse 3,8117,Fällanden
Gruppenpraxis Grossmünsterplatz 8,"Grossmünsterplatz 8, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eugl/gruppenpraxis-grossmunsterplatz-8,Grossmünsterplatz 8,8001,Zürich
Gruppenpraxis Im Fleudebüel 10,"Im Fleudebüel 10, 8460 Marthalen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/marthalen/ewgz/gruppenpraxis-im-fleudebuel-10,Im Fleudebüel 10,8460,Marthalen
Hausarztpraxis Volketswil - Huzlenstrasse 3,"Huzlenstrasse 3, 8604 Volketswil",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/volketswil/ewxz/hausarztpraxis-volketswil-huzlenstrasse-3,Huzlenstrasse 3,8604,Volketswil
HautZentrum Zürich,"Schaffhauserstrasse 355, 8050 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewlh/hautzentrum-zurich,Schaffhauserstrasse 355,8050,Zürich
Heart Clinic Zurich,"Witellikerstrasse 40, 8032 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eq7f/heart-clinic-zurich,Witellikerstrasse 40,8032,Zürich
House of Skin & Laser Medicine,"Bürglistrasse 11, 8002 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewgv/house-of-skin-laser-medicine,Bürglistrasse 11,8002,Zürich
IZZ-ImmunologieZentrum Zürich,"Walchestrasse 11, 8006 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewg3/izz-immunologiezentrum-zurich,Walchestrasse 11,8006,Zürich
Kinderarztpraxis Pfäffikon,"Wallikerstrasse 10, 8330 Pfäffikon ZH",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/pfaffikon/ewnw/kinderarztpraxis-pfaffikon,Wallikerstrasse 10,8330,Pfäffikon ZH
Kopfwehzentrum Hirslanden,"Forchstrasse 424, 8702 Zollikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zollikon/ewo3/kopfwehzentrum-hirslanden,Forchstrasse 424,8702,Zollikon
Limmat Augenzentrum,"Hardturmstrasse 133, 8005 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewji/limmat-augenzentrum,Hardturmstrasse 133,8005,Zürich
Medbase Eglisau,"Obergass 1, 8193 Eglisau",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/eglisau/erha/medbase-eglisau,Obergass 1,8193,Eglisau
Medbase Greifensee,"Grossriet 1, 8604 Greifensee",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/greifensee/e1i2/medbase-greifensee,Grossriet 1,8604,Greifensee
Medbase Hinwil,"Bahnhofstrasse 10, 8340 Hinwil",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/hinwil/eq2a/medbase-hinwil,Bahnhofstrasse 10,8340,Hinwil
Medbase Kloten,"Bachstrasse 9B, 8302 Kloten",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/kloten/ewig/medbase-kloten,Bachstrasse 9B,8302,Kloten
Medbase Uster,"Oberlandstrasse 104, 8610 Uster",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/uster/ewy8/medbase-uster,Oberlandstrasse 104,8610,Uster
Medbase Wetzikon,"Bahnhofstrasse 99g, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ewgf/medbase-wetzikon,Bahnhofstrasse 99g,8620,Wetzikon
Medbase Winterthur Brunngasse,"Brunngasse 6, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/evgc/medbase-winterthur-brunngasse,Brunngasse 6,8400,Winterthur
Medbase Winterthur Neuwiesen,"Gertrudstrasse 1, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewis/medbase-winterthur-neuwiesen,Gertrudstrasse 1,8400,Winterthur
Medbase Winterthur Schaffhauserstrasse,"Schaffhauserstrasse 6, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/e1yn/medbase-winterthur-schaffhauserstrasse,Schaffhauserstrasse 6,8400,Winterthur
Medbase Winterthur WIN4,"Grüzefeldstrasse 32, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewsw/medbase-winterthur-win4,Grüzefeldstrasse 32,8400,Winterthur
Medbase Zürich Löwenstrasse,"Löwenstrasse 29, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewn6/medbase-zurich-lowenstrasse,Löwenstrasse 29,8001,Zürich
Medbase Zürich Oerlikon,"Andreasstrasse 5, 8050 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewge/medbase-zurich-oerlikon,Andreasstrasse 5,8050,Zürich
Medbase Zürich Permanence Hauptbahnhof,"Bahnhofplatz 15, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewgw/medbase-zurich-permanence-hauptbahnhof,Bahnhofplatz 15,8001,Zürich
Medbase Zürich Wiedikon,"Seebahnstrasse 89, 8003 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eqy5/medbase-zurich-wiedikon,Seebahnstrasse 89,8003,Zürich
Medipark Swiss - Medipark Gesundheitszentrum,"Thurgauerstrasse 40, 8050 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/erg9/medipark-swiss-medipark-gesundheitszentrum,Thurgauerstrasse 40,8050,Zürich
MEDISYN CityLab Winterthur - Einkaufszentrum Neuwiesen,"Strickerstrasse 3, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/e2lg/medisyn-citylab-winterthur-einkaufszentrum-neuwiesen,Strickerstrasse 3,8400,Winterthur
mediX Gruppenpraxis,"Rotbuchstrasse 46, 8037 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewqu/medix-gruppenpraxis,Rotbuchstrasse 46,8037,Zürich
mediX notfallpraxis,"Badenerstrasse 41, 8004 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eq2b/medix-notfallpraxis,Badenerstrasse 41,8004,Zürich
mediX praxis altstetten,"Hohlstrasse 556, 8048 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewqo/medix-praxis-altstetten,Hohlstrasse 556,8048,Zürich
Medizinisches Zentrum,"Löwenstrasse 12, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewtn/medizinisches-zentrum,Löwenstrasse 12,8001,Zürich
Medizinisches Zentrum Chrummbächli,"Chrummbächliweg 2, 8805 Richterswil",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/richterswil/ewhy/medizinisches-zentrum-chrummbachli,Chrummbächliweg 2,8805,Richterswil
Medizinisches Zentrum Geissberg,"Haldenstrasse 64, 8302 Kloten",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/kloten/ewkd/medizinisches-zentrum-geissberg,Haldenstrasse 64,8302,Kloten
Medizinisches Zentrum Römerhof GmbH,"Klosbachstrasse 116, 8032 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/emh6/medizinisches-zentrum-romerhof-gmbh,Klosbachstrasse 116,8032,Zürich
Medizinisches Zentrum Seegarten,"Seestrasse 155, 8802 Kilchberg",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/kilchberg/exsw/medizinisches-zentrum-seegarten,Seestrasse 155,8802,Kilchberg
medVadis - Ärztezentrum Birmensdorf,"Dorfstrasse 5, 8903 Birmensdorf",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/birmensdorf/ewj8/medvadis-arztezentrum-birmensdorf,Dorfstrasse 5,8903,Birmensdorf
medVadis - Ärztezentrum Engstringen,"Im Zentrum 1, 8102 Oberengstringen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/oberengstringen/ewp4/medvadis-arztezentrum-engstringen,Im Zentrum 1,8102,Oberengstringen
medVadis - Ärztezentrum Urdorf,"Birmensdorferstrasse 87, 8902 Urdorf",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/urdorf/ewko/medvadis-arztezentrum-urdorf,Birmensdorferstrasse 87,8902,Urdorf
MeinArzt Leimbach,"Leimbachstrasse 231, 8041 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e02f/meinarzt-leimbach,Leimbachstrasse 231,8041,Zürich
Monvia Gesundheitszentrum Wallisellen,"Bahnhofplatz 1b, 8304 Wallisellen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/ewta/monvia-gesundheitszentrum-wallisellen,Bahnhofplatz 1b,8304,Wallisellen
Monvia Gesundheitszentrum Winterthur,"Bahnhofplatz 12, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewut/monvia-gesundheitszentrum-winterthur,Bahnhofplatz 12,8400,Winterthur
Neurozentrum Bellevue,"Theaterstrasse 8, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/erll/neurozentrum-bellevue,Theaterstrasse 8,8001,Zürich
OnkoZentrum Hirslanden,"Witellikerstrasse 40, 8008 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/er4h/onkozentrum-hirslanden,Witellikerstrasse 40,8008,Zürich
OnkoZentrum Zürich Standort Zürich-Enge,"Seestrasse 259, 8038 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewk3/onkozentrum-zurich-standort-zurich-enge,Seestrasse 259,8038,Zürich
ORL-Zentrum,"Witellikerstrasse 40, 8008 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewst/orl-zentrum,Witellikerstrasse 40,8008,Zürich
Orthopädie Zentrum Zürich Dr. Christian Diezi,"Seestrasse 259, 8038 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/exfn/orthopadie-zentrum-zurich-dr-christian-diezi,Seestrasse 259,8038,Zürich
Osteopathie Klinik Impuls,"Bahnhofstrasse 137, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/e1i6/osteopathie-klinik-impuls,Bahnhofstrasse 137,8620,Wetzikon
Permanence Marktplatz Oerlikon,"Querstrasse 15, 8050 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eq2m/permanence-marktplatz-oerlikon,Querstrasse 15,8050,Zürich
"Pinmed AG - Zentrum für Allgemeinmedizin, Chirurgie, Gefässmedizin & Vasektomie","Bahnhofstrasse 15a, 8304 Wallisellen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/e2vz/pinmed-ag-zentrum-fur-allgemeinmedizin-chirurgie-gefassmedizin-vasektomie,Bahnhofstrasse 15a,8304,Wallisellen
PLAZA Kliniken,"Oberlandstrasse 100, 8610 Uster",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/uster/ewk6/plaza-kliniken,Oberlandstrasse 100,8610,Uster
Praxis am Bahnhof,"Dorfstrasse 43, 8630 Rüti ZH",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/ruti/eueb/praxis-am-bahnhof,Dorfstrasse 43,8630,Rüti ZH
Praxis Bullingerplatz,"Stauffacherstrasse 234, 8004 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewnb/praxis-bullingerplatz,Stauffacherstrasse 234,8004,Zürich
Praxis Chreis4-Psychiatrie und Psychotherapie,"Sihlhallenstrasse 30, 8004 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewzz/praxis-chreis4-psychiatrie-und-psychotherapie,Sihlhallenstrasse 30,8004,Zürich
Praxis Dr. med. Daniel Goessi,"Schickstrasse 11, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ex01/praxis-dr-med-daniel-goessi,Schickstrasse 11,8400,Winterthur
Praxis Dr. med. Rapp Solveig,"Poststrasse 6, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewz9/praxis-dr-med-rapp-solveig,Poststrasse 6,8001,Zürich
Praxisgemeinschaft Altstetten,"Eugen Huber-Strasse 16, 8048 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewhc/praxisgemeinschaft-altstetten,Eugen Huber-Strasse 16,8048,Zürich
Praxisgemeinschaft am Meierhof,"Limmattalstrasse 177, 8049 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eprc/praxisgemeinschaft-am-meierhof,Limmattalstrasse 177,8049,Zürich
Praxis med-in,"Bertastrasse 99, 8003 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewsy/praxis-med-in,Bertastrasse 99,8003,Zürich
Praxis Rebhalden,"Gerlisbergstrasse 3, 8303 Bassersdorf",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/bassersdorf/et1k/praxis-rebhalden,Gerlisbergstrasse 3,8303,Bassersdorf
Praxiszentrum Möwe,"Kirchgasse 4, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ewf3/praxiszentrum-mowe,Kirchgasse 4,8620,Wetzikon
Psychcentral am Central,"Weinbergstrasse 26, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewg2/psychcentral-am-central,Weinbergstrasse 26,8001,Zürich
Rautipraxis,"Rautistrasse 55, 8047 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewhr/rautipraxis,Rautistrasse 55,8047,Zürich
Rhypraxis,"Schützenstrasse 29, 8245 Feuerthalen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/feuerthalen/ewkc/rhypraxis,Schützenstrasse 29,8245,Feuerthalen
Rosengarten Praxis,"Bahnhofstrasse 231, 8623 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ewrr/rosengarten-praxis,Bahnhofstrasse 231,8623,Wetzikon
sihldoc4kids,"Giesshübelstrasse 15, 8045 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/et5p/sihldoc4kids,Giesshübelstrasse 15,8045,Zürich
Smoothline,"Bahnhofstrasse 84, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewmz/smoothline,Bahnhofstrasse 84,8001,Zürich
SOS Aerzte Turicum,"Weinbergstrasse 68, 8006 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e1cw/sos-aerzte-turicum,Weinbergstrasse 68,8006,Zürich
SportClinic Zurich Hirslanden,"Witellikerstrasse 40, 8008 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewza/sportclinic-zurich-hirslanden,Witellikerstrasse 40,8008,Zürich
SportClinic Zurich Seebahnstrasse,"Seebahnstrasse 89, 8003 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e8rl/sportclinic-zurich-seebahnstrasse,Seebahnstrasse 89,8003,Zürich
SportClinic Zurich Sihlcity,"Giesshübelstrasse 15, 8045 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewp5/sportclinic-zurich-sihlcity,Giesshübelstrasse 15,8045,Zürich
