name,address,street,postal_code,city,canton,type,url
"allergie+haut2 Facharztklinik für Haut, Allergie und Immunsystem Loren-Allee 22 Uster","Loren-Allee 22, 8610 Uster",Loren-Allee 22,8610,Uster,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/uster/exwd/allergie-haut2-facharztklinik-fur-haut-allergie-und-immunsystem-loren-allee-22-uster
AlphaClinic Zürich,"Seidengasse 16, 8001 Zürich",Seidengasse 16,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exho/alphaclinic-zurich
Altstadtpraxis,"Technikumstrasse 90, 8400 Winterthur",Technikumstrasse 90,8400,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/ewxr/altstadtpraxis
Ambulatorium Kanonengasse,"Kanonengasse 18, 8004 Zürich",Kanonengasse 18,8004,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exor/ambulatorium-kanonengasse
angioclinic® Venenzentrum,"Seestrasse 455b, 8038 Zürich",Seestrasse 455b,8038,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exd8/angioclinic-venenzentrum
Antagon AG,"Lessingstrasse 3, 8002 Zürich",Lessingstrasse 3,8002,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/e8v0/antagon-ag
apad Arztpraxis auf Dorf,"Allenbergstrasse 2, 8708 Männedorf",Allenbergstrasse 2,8708,Männedorf,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/mannedorf/exxw/apad-arztpraxis-auf-dorf
Ärzte am Graben,"Unterer Graben 29, 8400 Winterthur",Unterer Graben 29,8400,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/ew14/arzte-am-graben
Ärzte am Grossmünsterplatz,"Grossmünsterplatz 9, 8001 Zürich",Grossmünsterplatz 9,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewux/arzte-am-grossmunsterplatz
Ärzte am Rosenberg,"Schaffhauserstrasse 115, 8400 Winterthur",Schaffhauserstrasse 115,8400,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/ewjp/arzte-am-rosenberg
Ärzte Bellevuepraxis Zürich,"Theaterstrasse 14, 8001 Zürich",Theaterstrasse 14,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exkp/arzte-bellevuepraxis-zurich
Ärzteduo Leuehuus,"Zugerstrasse 37, 8810 Horgen",Zugerstrasse 37,8810,Horgen,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/horgen/ew94/arzteduo-leuehuus
Ärztegemeinschaft Herrliberg,"Rebhaldenstrasse 25, 8704 Herrliberg",Rebhaldenstrasse 25,8704,Herrliberg,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/herrliberg/epjb/arztegemeinschaft-herrliberg
Ärztegemeinschaft Reussli,"Reusslistrasse 10, 8172 Niederglatt ZH",Reusslistrasse 10,8172,Niederglatt ZH,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/niederglatt/ex3m/arztegemeinschaft-reussli
Ärztehaus Fuhr,"Fuhrstrasse 15, 8820 Wädenswil",Fuhrstrasse 15,8820,Wädenswil,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wadenswil/exae/arztehaus-fuhr
Ärztehaus Küsnacht,"Untere Dorfstrasse 2, 8700 Küsnacht",Untere Dorfstrasse 2,8700,Küsnacht,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/kusnacht/ewnd/arztehaus-kusnacht
Ärztehaus Milchbuck,"Schaffhauserstrasse 124, 8057 Zürich",Schaffhauserstrasse 124,8057,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exq1/arztehaus-milchbuck
Ärztehaus Oberdorf,"Usterstrasse 2, 8620 Wetzikon",Usterstrasse 2,8620,Wetzikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wetzikon/ewyz/arztehaus-oberdorf
Ärztehaus Rosenau,"Gladbachstrasse 95, 8044 Zürich",Gladbachstrasse 95,8044,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exre/arztehaus-rosenau
Ärztehaus Seen,"Arbergstrasse 7, 8405 Winterthur",Arbergstrasse 7,8405,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/ew0e/arztehaus-seen
Ärzte im Sternen Oerlikon,"Franklinstrasse 1, 8050 Zürich",Franklinstrasse 1,8050,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewwg/arzte-im-sternen-oerlikon
Ärztepraxis am Albis,"Zürichstrasse 67, 8910 Affoltern am Albis",Zürichstrasse 67,8910,Affoltern am Albis,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/affoltern-am-albis/ew6h/arztepraxis-am-albis
Ärztepraxis Kern,"Adlerstrasse 1, 8600 Dübendorf",Adlerstrasse 1,8600,Dübendorf,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/dubendorf/ewm5/arztepraxis-kern
Ärztepraxis zum Citronenbaum,"Untertor 1, 8400 Winterthur",Untertor 1,8400,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/ewl1/arztepraxis-zum-citronenbaum
Arztpraxis am Bahnhof,"Seestrasse 117, 8810 Horgen",Seestrasse 117,8810,Horgen,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/horgen/ewz4/arztpraxis-am-bahnhof
Arztpraxis Dr. Ilic,"Güterstrasse 10, 8952 Schlieren",Güterstrasse 10,8952,Schlieren,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/schlieren/ex05/arztpraxis-dr-ilic
Arztpraxis Friesenberg,"Borrweg 65, 8055 Zürich",Borrweg 65,8055,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ex0e/arztpraxis-friesenberg
Arztpraxis für Frauen und Kinder,"Geissacher 8, 8126 Zumikon",Geissacher 8,8126,Zumikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zumikon/ewpg/arztpraxis-fur-frauen-und-kinder
Arztpraxis für Kinder und Jugendliche,"Oberdorfstrasse 21, 8820 Wädenswil",Oberdorfstrasse 21,8820,Wädenswil,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wadenswil/ew3f/arztpraxis-fur-kinder-und-jugendliche
Arztpraxis Glattpark,"Thurgauerstrasse 106, 8152 Opfikon",Thurgauerstrasse 106,8152,Opfikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/opfikon/ewwb/arztpraxis-glattpark
Arztpraxis Hirschwiesen,"Schaffhauserstrasse 188, 8057 Zürich",Schaffhauserstrasse 188,8057,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewq2/arztpraxis-hirschwiesen
Arztpraxis Kreis 9,"Dennlerstrasse 25, 8047 Zürich",Dennlerstrasse 25,8047,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewgc/arztpraxis-kreis-9
Arztpraxis Laupen,"Hauptstrasse 36c, 8637 Laupen ZH",Hauptstrasse 36c,8637,Laupen ZH,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/laupen/eo36/arztpraxis-laupen
Arztpraxis Limmatplatz,"Limmatplatz 1, 8005 Zürich",Limmatplatz 1,8005,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewh0/arztpraxis-limmatplatz
Arztpraxis Ossingen,"Truttikerstrasse 19, 8475 Ossingen",Truttikerstrasse 19,8475,Ossingen,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/ossingen/ewqi/arztpraxis-ossingen
Arztpraxis Riedholz,"Bleulerstrasse 80a, 8008 Zürich",Bleulerstrasse 80a,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewzq/arztpraxis-riedholz
ARZTPRAXIS RÜMLANG,"Obermattenstrasse 7, 8153 Rümlang",Obermattenstrasse 7,8153,Rümlang,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/rumlang/exqp/arztpraxis-rumlang
Arztpraxis Schaffner Nikmo,"Grütstrasse 34, 8704 Herrliberg",Grütstrasse 34,8704,Herrliberg,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/herrliberg/ewi4/arztpraxis-schaffner-nikmo
Arztpraxis Schmid Florastrasse 2 Adliswil,"Florastrasse 2, 8134 Adliswil",Florastrasse 2,8134,Adliswil,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/adliswil/ewvx/arztpraxis-schmid-florastrasse-2-adliswil
Arztpraxis Seebach,"Schaffhauserstrasse 470, 8052 Zürich",Schaffhauserstrasse 470,8052,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewpc/arztpraxis-seebach
Arztpraxis-Stadelhofen,"Goethestrasse 22, 8001 Zürich",Goethestrasse 22,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewr7/arztpraxis-stadelhofen
Arztpraxis Wangen,"Hegnaustrasse 30, 8602 Wangen-Brüttisellen",Hegnaustrasse 30,8602,Wangen-Brüttisellen,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wangen-bruttisellen/ew7o/arztpraxis-wangen
Arztpraxis Wiedikon,"Birmensdorferstrasse 51, 8004 Zürich",Birmensdorferstrasse 51,8004,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewix/arztpraxis-wiedikon
Arztpraxis Winkel,"Embracherstrasse 10, 8185 Winkel",Embracherstrasse 10,8185,Winkel,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winkel/exrx/arztpraxis-winkel
Arztzentrum Glattbrugg,"Schaffhauserstrasse 124, 8152 Glattbrugg",Schaffhauserstrasse 124,8152,Glattbrugg,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/glattbrugg/ewju/arztzentrum-glattbrugg
Ärztzentrum Töss,"Zürcherstrasse 120, 8406 Winterthur",Zürcherstrasse 120,8406,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/exdz/arztzentrum-toss
Ästhetik- und Laserzentrum Zürichsee AG,"Dorfstrasse 94, 8706 Meilen",Dorfstrasse 94,8706,Meilen,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/meilen/ewxp/asthetik-und-laserzentrum-zurichsee-ag
Augenärzte Parkside,"Bahnhofstrasse 9, 8952 Schlieren",Bahnhofstrasse 9,8952,Schlieren,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/schlieren/ewwp/augenarzte-parkside
Augenärzte Stäfa - Zentrum Bahnhof,"Bahnhofstrasse 25, 8712 Stäfa",Bahnhofstrasse 25,8712,Stäfa,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/stafa/eq4d/augenarzte-stafa-zentrum-bahnhof
Augenärzte Wetzikon - Zentrum Leue,"Bahnhofstrasse 150, 8620 Wetzikon",Bahnhofstrasse 150,8620,Wetzikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wetzikon/eq4c/augenarzte-wetzikon-zentrum-leue
Augenärztliche Praxis,"Gerichtsstrasse 4, 8610 Uster",Gerichtsstrasse 4,8610,Uster,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/uster/ewqz/augenarztliche-praxis
Augenarztpraxis Bahnhofpassage,"Bankstrasse 8, 8610 Uster",Bankstrasse 8,8610,Uster,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/uster/epja/augenarztpraxis-bahnhofpassage
Augenarztpraxis Degen,"Schaffhauserstrasse 95, 8057 Zürich",Schaffhauserstrasse 95,8057,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewt7/augenarztpraxis-degen
Augenarztpraxis Dr.med. Peter Haydon,"Albisstrasse 12, 8134 Adliswil",Albisstrasse 12,8134,Adliswil,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/adliswil/ew5m/augenarztpraxis-dr-med-peter-haydon
Augenarztpraxis Dr. med. univ. Judit Apli Erlenbach,"Bahnhofstrasse 20, 8703 Erlenbach",Bahnhofstrasse 20,8703,Erlenbach,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/erlenbach/e8tj/augenarztpraxis-dr-med-univ-judit-apli-erlenbach
Augenarztpraxis Dr. med. univ. Judit Apli Wädenswil,"Gerbestrasse 4, 8820 Wädenswil",Gerbestrasse 4,8820,Wädenswil,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wadenswil/e2qu/augenarztpraxis-dr-med-univ-judit-apli-wadenswil
Augenarztpraxis Effretikon,"Bahnhofstrasse 13, 8307 Effretikon",Bahnhofstrasse 13,8307,Effretikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/effretikon/ewnv/augenarztpraxis-effretikon
Augenchirurgie.ch Winterthur,"Stadthausstrasse 51, 8400 Winterthur",Stadthausstrasse 51,8400,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/etin/augenchirurgie-ch-winterthur
Augenklinik Zürich West,"Rautistrasse 55, 8047 Zürich",Rautistrasse 55,8047,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewgu/augenklinik-zurich-west
Augenmobil AG,"Engelstrasse 6, 8004 Zürich",Engelstrasse 6,8004,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewjn/augenmobil-ag
Augenmobil AG Standort Praxis Claridenhof,"Beethovenstrasse 24, 8002 Zürich",Beethovenstrasse 24,8002,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/e80c/augenmobil-ag-standort-praxis-claridenhof
Augenpraxis beim Schauspielhaus,"Hottingerstrasse 2, 8032 Zürich",Hottingerstrasse 2,8032,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/eto5/augenpraxis-beim-schauspielhaus
Augenpraxis Weinbergstrasse,"Weinbergstrasse 112, 8006 Zürich",Weinbergstrasse 112,8006,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/epsd/augenpraxis-weinbergstrasse
Augentagespraxis Bülach,"Sonnenhof 1, 8180 Bülach",Sonnenhof 1,8180,Bülach,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/bulach/ewtt/augentagespraxis-bulach
Augen Zentrum Dietikon,"Kirchstrasse 20, 8953 Dietikon",Kirchstrasse 20,8953,Dietikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/dietikon/eq0a/augen-zentrum-dietikon
AugenZentrumWitikon,"Witikonerstrasse 295, 8053 Zürich",Witikonerstrasse 295,8053,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewio/augenzentrumwitikon
AvariMed Medical Center,"Wright-Strasse 7, 8152 Opfikon",Wright-Strasse 7,8152,Opfikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/opfikon/ew4y/avarimed-medical-center
Baermed. Zentrum für Bauchchirurgie,"Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/extn/baermed-zentrum-fur-bauchchirurgie
Bahnhofpraxis Winterthur,"Bahnhofplatz 5a, 8400 Winterthur",Bahnhofplatz 5a,8400,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/ew2n/bahnhofpraxis-winterthur
Bauchzentrum Rüti,"Neuwiesenstrasse 9, 8630 Rüti ZH",Neuwiesenstrasse 9,8630,Rüti ZH,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/ruti/eurs/bauchzentrum-ruti
B. Braun Medical Care AG - Nephrologie und Dialysezentrum,"Langmattstrasse 10, 8182 Hochfelden",Langmattstrasse 10,8182,Hochfelden,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/hochfelden/eptx/b-braun-medical-care-ag-nephrologie-und-dialysezentrum
B. Braun Medical Care - Nephrologie und Dialysezentrum,"Bahnhofstrasse 104, 8902 Urdorf",Bahnhofstrasse 104,8902,Urdorf,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/urdorf/ewlp/b-braun-medical-care-nephrologie-und-dialysezentrum
Beauty and Dental M,"Ringstrasse 26, 8600 Dübendorf",Ringstrasse 26,8600,Dübendorf,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/dubendorf/ebatn/beauty-and-dental-m
BEAUTYCLINIC DRS OTTE & OTTE,"Goethestrasse 16, 8001 Zürich",Goethestrasse 16,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewj1/beautyclinic-drs-otte-otte
Bellevue Medical Center Zurich,"Rämistrasse 4, 8001 Zürich",Rämistrasse 4,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/erkw/bellevue-medical-center-zurich
Blasenzentrum Zürich,"Gottfried Keller-Strasse 7, 8001 Zürich",Gottfried Keller-Strasse 7,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewya/blasenzentrum-zurich
Bolada,"Franklinstrasse 31, 8050 Zürich",Franklinstrasse 31,8050,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewow/bolada
brunner & bonesso,"Helenastrasse 3, 8008 Zürich",Helenastrasse 3,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewn0/brunner-bonesso
Brust-Zentrum AG,"Seefeldstrasse 214, 8008 Zürich",Seefeldstrasse 214,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ebbnc/brust-zentrum-ag
Cardiopark AG,"Seestrasse 247, 8038 Zürich",Seestrasse 247,8038,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ew18/cardiopark-ag
Center Eleven,"Sophie Taeuber-Strasse 4, 8050 Zürich",Sophie Taeuber-Strasse 4,8050,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewqd/center-eleven
Central-Praxis - Löwenstrasse,"Löwenstrasse 32, 8001 Zürich",Löwenstrasse 32,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewj3/central-praxis-lowenstrasse
Central-Praxis - Oerlikon,"Hofwiesenstrasse 376, 8050 Zürich",Hofwiesenstrasse 376,8050,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/e9b0/central-praxis-oerlikon
checkin Praxis checkin Helvetiaplatz,"Stauffacherstrasse 94, 8004 Zürich",Stauffacherstrasse 94,8004,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewxy/checkin-praxis-checkin-helvetiaplatz
Checkup Center Zürich,"Römerhofplatz 5, 8032 Zürich",Römerhofplatz 5,8032,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exal/checkup-center-zurich
Check-up Zentrum Hirslanden,"Forchstrasse 420, 8702 Zollikon",Forchstrasse 420,8702,Zollikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zollikon/ew1y/check-up-zentrum-hirslanden
Chiropraktik am Schaffhauserplatz,"Hotzestrasse 65, 8006 Zürich",Hotzestrasse 65,8006,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exfj/chiropraktik-am-schaffhauserplatz
Chirurgie Lindenpark,"Lindenstrasse 23, 8302 Kloten",Lindenstrasse 23,8302,Kloten,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/kloten/exdt/chirurgie-lindenpark
Clienia Gruppenpraxen Dietikon,"Neumattstrasse 7, 8953 Dietikon",Neumattstrasse 7,8953,Dietikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/dietikon/ewyf/clienia-gruppenpraxen-dietikon
Clienia Gruppenpraxen Oerlikon,"Schulstrasse 28, 8050 Zürich",Schulstrasse 28,8050,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exxl/clienia-gruppenpraxen-oerlikon
Clienia Gruppenpraxen Uster,"Schachenweg 2, 8610 Uster",Schachenweg 2,8610,Uster,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/uster/ewyq/clienia-gruppenpraxen-uster
Clienia Gruppenpraxen Zürich,"Seefeldstrasse 214, 8008 Zürich",Seefeldstrasse 214,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewq3/clienia-gruppenpraxen-zurich
Clinic Utoquai,"Utoquai 41, 8008 Zürich",Utoquai 41,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/etw5/clinic-utoquai
Clinius,"Im Feld 34, 8424 Embrach",Im Feld 34,8424,Embrach,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/embrach/exb6/clinius
Clinius Praxis Neerach,"Alte Badenerstrasse 30, 8173 Neerach",Alte Badenerstrasse 30,8173,Neerach,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/neerach/ewmf/clinius-praxis-neerach
Curana Wallisellen,"Bahnhofplatz 1D, 8304 Wallisellen",Bahnhofplatz 1D,8304,Wallisellen,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wallisellen/e99j/curana-wallisellen
Decamed Haut- und Laserzentrum,"Feldeggstrasse 69, 8008 Zürich",Feldeggstrasse 69,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/e7kn/decamed-haut-und-laserzentrum
Decaspa Medical Beauty,"Feldeggstrasse 69, 8008 Zürich",Feldeggstrasse 69,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/e7kp/decaspa-medical-beauty
Dermanence,"Bahnhofstrasse 104, 8001 Zürich",Bahnhofstrasse 104,8001,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ew4c/dermanence
Dermapraxis,"Oberdorfstrasse 20, 8820 Wädenswil",Oberdorfstrasse 20,8820,Wädenswil,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wadenswil/ew2w/dermapraxis
Derm Art,"Untertor 33, 8400 Winterthur",Untertor 33,8400,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/e33o/derm-art
