name,address,street,postal_code,city,canton,phone_number,professions,url,official_website,Zuweisung,Keywords,google_search_url
aprioris Soforthilfe-Praxis Paradeplatz,"Poststrasse 6, 8001 Zürich",Poststrasse 6,8001,Zürich,Zürich,044 442 28 01,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj5/aprioris-soforthilfe-praxis-paradeplatz,https://www.aprioris.ch/,0,,https://www.google.ch/search?q=aprioris+Soforthilfe-Praxis+Paradeplatz+Zürich
Ärztegemeinschaft Dietlikon,"Bromackerstrasse 9, 8305 Dietlikon",Bromackerstrasse 9,8305,Dietlikon,Zürich,044 835 20 25,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin), Rheumatologie",https://www.onedoc.ch/de/medizinische-praxis/dietlikon/eygz/arztegemeinschaft-dietlikon,https://praxisdietlikon.ch/,0,,https://www.google.ch/search?q=Ärztegemeinschaft+Dietlikon
Ärztehaus Seebach,"Landhusweg 4, 8052 Zürich",Landhusweg 4,8052,Zürich,Zürich,044 300 11 80,"Allgemeine Innere Medizin, Gynäkologie und Geburtshilfe, Hausarztmedizin (Allgemeinmedizin), Freiwilliger Schwangerschaftsabbruch | Abtreibung | Abort, Harninkontinenz | Blasenschwäche, Schwangerschaftsvorsorge | Schwangerschaftsuntersuchung, Vasektomie | Unterbindung | Männliche Sterilisation, Verhütung, Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Verkehrsmedizinische Kontrolluntersuchung STUFE 2, Vorsorgeuntersuchung Humane Papillomaviren (HPV) | PAP Abstrich, Vorsorgeuntersuchung bei Kindern | Pädiatrische Vorsorgeuntersuchung | Entwicklungskontrolle, Vorsorgeuntersuchung | Check up, Wechseljahre | Menopause",https://www.onedoc.ch/de/medizinische-praxis/zurich/eba5e/arztehaus-seebach,https://aerztehaus-seebach.ch/,0,,https://www.google.ch/search?q=Ärztehaus+Seebach+Zürich
Ärztehaus Sonnenhof - Dr. med. Ralf Baumgartner,"Freiestrasse 211, 8032 Zürich",Freiestrasse 211,8032,Zürich,Zürich,044 381 45 48,"Gynäkologie und Geburtshilfe, Familienplanung, Schwangerschaftsvorsorge | Schwangerschaftsuntersuchung, Verhütung, Vorsorgeuntersuchung Humane Papillomaviren (HPV) | PAP Abstrich, Wechseljahre | Menopause",https://www.onedoc.ch/de/medizinische-praxis/zurich/epk1/arztehaus-sonnenhof-dr-med-ralf-baumgartner,https://baumgartnergyn.ch/,0,,https://www.google.ch/search?q=Ärztehaus+Sonnenhof+-+Dr.+med.+Ralf+Baumgartner+Zürich
Ärztepraxis Eichwis,"Rickenstrasse 9, 8634 Hombrechtikon",Rickenstrasse 9,8634,Hombrechtikon,Zürich,055 244 44 40,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin), Manuelle Medizin, Psychiatrie, Psychosomatische und psychosoziale Medizin, Psychotherapie, Tropen- und Reisemedizin, Abdomensonografie | Ultraschall des Bauches, Adipositas, Allergie | AllergoTest | Allergieabklärung, Impfberatung, Pflege von Wunden | Wundbehandlung, Reiseberatung, Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Vorsorgeuntersuchung bei Kindern | Pädiatrische Vorsorgeuntersuchung | Entwicklungskontrolle, Vorsorgeuntersuchung | Check up",https://www.onedoc.ch/de/medizinische-praxis/hombrechtikon/ebat8/arztepraxis-eichwis,https://eichwis.ch/,1,,https://www.google.ch/search?q=Ärztepraxis+Eichwis+Hombrechtikon
Ärztezentrum Seebach Zürich,"Bahnhaldenstrasse 7, 8052 Zürich",Bahnhaldenstrasse 7,8052,Zürich,Zürich,044 302 11 82,"Hausarztmedizin (Allgemeinmedizin), Diabetes, Elektrokardiogramm (EKG), Messung des Blutdrucks, Röntgen, Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Vorsorgeuntersuchung | Check up",https://www.onedoc.ch/de/medizinische-praxis/zurich/e6hs/arztezentrum-seebach-zurich,https://www.aerztezentrum-seebach.ch/,1,,https://www.google.ch/search?q=Ärztezentrum+Seebach+Zürich
Ärztezentrum Winterthur - Dr. med. Christoph Eismann,"Sankt-Georgen-Strasse 6, 8400 Winterthur",Sankt-Georgen-Strasse 6,8400,Winterthur,Zürich,052 246 03 03,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/winterthur/e26/arztezentrum-winterthur-dr-med-christoph-eismann,https://ärztezentrum-eismann.ch/,0,,https://www.google.ch/search?q=Ärztezentrum+Winterthur+-+Dr.+med.+Christoph+Eismann
Ärztezentrum Wolfhausen,"Landstrasse 29, 8633 Wolfhausen",Landstrasse 29,8633,Wolfhausen,Zürich,055 243 24 24,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/wolfhausen/e6i0/arztezentrum-wolfhausen,https://www.aerztezentrum-wolfhausen.ch/,0,,https://www.google.ch/search?q=Ärztezentrum+Wolfhausen
Arztpraxis beim Gemeindehaus,"Stationsstrasse 20, 8105 Regensdorf",Stationsstrasse 20,8105,Regensdorf,Zürich,044 843 33 00,"Allgemeine Innere Medizin, Allergie | AllergoTest | Allergieabklärung, Harnwegsinfektion | Zystitis | Blasenentzündung, Herz-Kreislauf-Prävention | CardioCheck, Kopfschmerzen und Migräne, Nachtarbeitsuntersuchung, Präoperative Untersuchung, Reiseberatung, Sexuell übertragbare Krankheiten | Sexuell übertragbare Infektionen (STD/STI), Verkehrsmedizinische Kontrolluntersuchung STUFE 1",https://www.onedoc.ch/de/medizinische-praxis/regensdorf/eq6l/arztpraxis-beim-gemeindehaus,,0,,https://www.google.ch/search?q=Arztpraxis+beim+Gemeindehaus+Regensdorf
Arztpraxis Dr. med. Gabi Egli,"Bergstrasse 143, 8707 Uetikon",Bergstrasse 143,8707,Uetikon,Zürich,044 920 19 15,"Hausarztmedizin (Allgemeinmedizin), Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Verkehrsmedizinische Kontrolluntersuchung STUFE 2, Vorsorgeuntersuchung | Check up",https://www.onedoc.ch/de/medizinische-praxis/uetikon/e3ws/arztpraxis-dr-med-gabi-egli,https://internistin.ch/,0,,https://www.google.ch/search?q=Arztpraxis+Dr.+med.+Gabi+Egli+Uetikon
Arztpraxis Dr. med. Peter Lauber,"Asylstrasse 19, 8032 Zürich",Asylstrasse 19,8032,Zürich,Zürich,043 268 33 55,"Allgemeine Innere Medizin, Anthroposophische Medizin, Hausarztmedizin (Allgemeinmedizin), Neuraltherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/eqbn/arztpraxis-dr-med-peter-lauber,https://www.lauber-praxis.ch/Startseite/,0,,https://www.google.ch/search?q=Arztpraxis+Dr.+med.+Peter+Lauber+Zürich
Arztpraxis Eva Kruschitz,"Römertorstrasse 1, 8404 Winterthur",Römertorstrasse 1,8404,Winterthur,Zürich,052 213 60 60,"Gynäkologie und Geburtshilfe, Schwangerschaftsvorsorge | Schwangerschaftsuntersuchung, Verhütung, Vorsorgeuntersuchung Humane Papillomaviren (HPV) | PAP Abstrich",https://www.onedoc.ch/de/medizinische-praxis/winterthur/ew9n/arztpraxis-eva-kruschitz,,0,,https://www.google.ch/search?q=Arztpraxis+Eva+Kruschitz+Winterthur
Arztpraxis Illnau-Effretikon - Dr. Reyna GmbH,"Schlimpergstrasse 2, 8307 Effretikon",Schlimpergstrasse 2,8307,Effretikon,Zürich,052 343 55 44,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/effretikon/e0tj/arztpraxis-illnau-effretikon-dr-reyna-gmbh,https://www.arztpraxis-ilef.ch/,1,,https://www.google.ch/search?q=Arztpraxis+Illnau-Effretikon+-+Dr.+Reyna+GmbH
Arztpraxis Ova-Areal AG,"Obstgartenstrasse 1, 8910 Affoltern am Albis",Obstgartenstrasse 1,8910,Affoltern am Albis,Zürich,044 762 61 61,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/affoltern-am-albis/exr2/arztpraxis-ova-areal-ag,,0,,https://www.google.ch/search?q=Arztpraxis+Ova-Areal+AG+Affoltern+am+Albis
Arztpraxis Sternen,"Schaffhauserstrasse 345, 8050 Zürich",Schaffhauserstrasse 345,8050,Zürich,Zürich,044 313 94 88,"Akupunktur, Manuelle Medizin, Rheumatologie, Schmerztherapie, Traditionelle Chinesische Medizin (TCM)",https://www.onedoc.ch/de/medizinische-praxis/zurich/e6o6/arztpraxis-sternen,https://www.praxis-sternen.ch/,0,,https://www.google.ch/search?q=Arztpraxis+Sternen+Zürich
Arztpraxis Tilch,"Albisstrasse 26, 8038 Zürich",Albisstrasse 26,8038,Zürich,Zürich,043 399 70 00,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/zurich/ewt5/arztpraxis-tilch,http://www.arztpraxis-tilch.com/,0,,https://www.google.ch/search?q=Arztpraxis+Tilch+Zürich
Arztpraxis Volketswil,"Im Zentrum 18, 8604 Volketswil",Im Zentrum 18,8604,Volketswil,Zürich,043 549 54 44,"Allgemeine Innere Medizin, Reiseberatung, Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Verkehrsmedizinische Kontrolluntersuchung STUFE 2, Vorsorgeuntersuchung | Check up",https://www.onedoc.ch/de/medizinische-praxis/volketswil/e7r7/arztpraxis-volketswil,https://www.arztpraxis-volketswil.ch/,0,,https://www.google.ch/search?q=Arztpraxis+Volketswil
Augenärzte Egg Dr. med. Anastasija Lapkovska,"Gewerbestrasse 12a, 8132 Egg ZH",Gewerbestrasse 12a,8132,Egg ZH,Zürich,044 244 81 45,"Augenheilkunde, Augencheck | Untersuchung der Sehkraft | Visustest, Glaukom | Grüner Star, Katarakt | Grauer Star, Pädiatrische Ophthalmologie",https://www.onedoc.ch/de/medizinische-praxis/egg/eba0f/augenarzte-egg-dr-med-anastasija-lapkovska,https://www.onedoc.ch/de/augenarztin/egg/pcszb/dr-med-anastasija-lapkovska,0,,https://www.google.ch/search?q=Augenärzte+Egg+Dr.+med.+Anastasija+Lapkovska+Egg+ZH
Augenarztpraxis,"Florastrasse 17, 8008 Zürich",Florastrasse 17,8008,Zürich,Zürich,044 552 91 91,"Augenheilkunde, Orthoptik, Pädiatrische Ophthalmologie, Pädiatrische Orthoptik, Strabismus | Schielen",https://www.onedoc.ch/de/medizinische-praxis/zurich/ewnq/augenarztpraxis,https://www.augenaerzte-zuerich.ch/,0,,https://www.google.ch/search?q=Augenarztpraxis+Zürich
Augenarztpraxis Aug&Lid,"Technikumstrasse 61, 8400 Winterthur",Technikumstrasse 61,8400,Winterthur,Zürich,052 551 88 81,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Blepharoplastik | Augenlidchirurgie, Glaukom | Grüner Star, Katarakt | Grauer Star, Okuloplastik, Orthoptikuntersuchung, Pädiatrische Ophthalmologie, Vorsorgeuntersuchung Diabetische Retinopathie",https://www.onedoc.ch/de/medizinische-praxis/winterthur/ebbq2/augenarztpraxis-aug-lid,https://www.augundlid.ch/,0,,https://www.google.ch/search?q=Augenarztpraxis+Aug&Lid+Winterthur
Augenarztpraxis Bassersdorf,"Klotenerstrasse 20, 8303 Bassersdorf",Klotenerstrasse 20,8303,Bassersdorf,Zürich,044 542 67 52,"Augenheilkunde, Brille, Gesichtsfeld, Glaukom | Grüner Star, Katarakt | Grauer Star, Keratokonus | Hornhautkegel, Pädiatrische Ophthalmologie, Sehtest für den Führerschein",https://www.onedoc.ch/de/medizinische-praxis/bassersdorf/e7w7/augenarztpraxis-bassersdorf,https://augenarzt-bassersdorf.ch/,0,,https://www.google.ch/search?q=Augenarztpraxis+Bassersdorf
Augenarztpraxis Dr. Ansari - WINTERTHUR,"Unterer Graben 35, 8400 Winterthur",Unterer Graben 35,8400,Winterthur,Zürich,052 566 77 20,"Augenchirurgie, Augenheilkunde, Augencheck | Untersuchung der Sehkraft | Visustest, Brille, Gesichtsfeld, Glaukom | Grüner Star, Katarakt | Grauer Star",https://www.onedoc.ch/de/medizinische-praxis/winterthur/e8k5/augenarztpraxis-dr-ansari-winterthur,https://www.augenarzt-ansari.ch/,0,,https://www.google.ch/search?q=Augenarztpraxis+Dr.+Ansari+-+WINTERTHUR
Augenarztpraxis Dr. med. Dishy Avraham,"Albisstrasse 40, 8038 Zürich",Albisstrasse 40,8038,Zürich,Zürich,044 488 11 90,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/zurich/emir/augenarztpraxis-dr-med-dishy-avraham,https://augenarzt-dishy.ch/,1,,https://www.google.ch/search?q=Augenarztpraxis+Dr.+med.+Dishy+Avraham+Zürich
"Augenarztpraxis, Dr. med. Kristin Weisshuhn","Schauenbergstrasse 11, 8046 Zürich",Schauenbergstrasse 11,8046,Zürich,Zürich,044 377 70 90,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Astigmatismus, Brille, Glaukom | Grüner Star, Hyperopie | Weitsichtigkeit, Katarakt | Grauer Star, Kurzsichtigkeit | Myopie, Sehtest für den Führerschein",https://www.onedoc.ch/de/medizinische-praxis/zurich/ewwj/augenarztpraxis-dr-med-kristin-weisshuhn,https://www.augenarzt-zuerichaffoltern.ch/,0,,"https://www.google.ch/search?q=Augenarztpraxis,+Dr.+med.+Kristin+Weisshuhn+Zürich"
Augenarztpraxis Dr. Terzi,"Waaggasse 5, 8001 Zürich",Waaggasse 5,8001,Zürich,Zürich,043 888 62 50,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/zurich/ewty/augenarztpraxis-dr-terzi,https://www.drterzi.ch/,0,,https://www.google.ch/search?q=Augenarztpraxis+Dr.+Terzi+Zürich
Augenarztpraxis Horgen,"Zugerstrasse 30, 8810 Horgen",Zugerstrasse 30,8810,Horgen,Zürich,044 725 22 29,"Augenheilkunde, Augencheck | Untersuchung der Sehkraft | Visustest, Glaukom | Grüner Star, Katarakt | Grauer Star, Pädiatrische Ophthalmologie",https://www.onedoc.ch/de/medizinische-praxis/horgen/exl0/augenarztpraxis-horgen,https://augenarzthorgen.ch/,0,,https://www.google.ch/search?q=Augenarztpraxis+Horgen
Augenarztpraxis Kilchberg,"Weinbergstrasse 2, 8802 Kilchberg",Weinbergstrasse 2,8802,Kilchberg,Zürich,044 599 73 36,"Augenheilkunde, Brille, Gesichtsfeld, Glaukom | Grüner Star, Katarakt | Grauer Star, Keratokonus | Hornhautkegel, Pädiatrische Ophthalmologie, Sehtest für den Führerschein",https://www.onedoc.ch/de/medizinische-praxis/kilchberg/e60w/augenarztpraxis-kilchberg,https://augenarzt-kilchberg.ch/,0,,https://www.google.ch/search?q=Augenarztpraxis+Kilchberg
Augenarztpraxis Thalwil,"Gotthardstrasse 36, 8800 Thalwil",Gotthardstrasse 36,8800,Thalwil,Zürich,044 720 28 68,"Augenheilkunde, Orthoptik, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Brille, Gesichtsfeld, Katarakt | Grauer Star, Pädiatrische Ophthalmologie, Trockene Augen",https://www.onedoc.ch/de/medizinische-praxis/thalwil/ex2g/augenarztpraxis-thalwil,https://augenarzt-praxis-thalwil.ch/,0,,https://www.google.ch/search?q=Augenarztpraxis+Thalwil
Augenarzt Zollikon,"Seestrasse 45, 8702 Zollikon",Seestrasse 45,8702,Zollikon,Zürich,044 537 85 90,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Funduskopie | Ophthalmoskopie | Augenspiegelung | Spaltlampenuntersuchung, Glaukom | Grüner Star, Katarakt | Grauer Star, Keratokonus | Hornhautkegel, Sehtest für den Führerschein, Strabismus | Schielen, Trockene Augen",https://www.onedoc.ch/de/medizinische-praxis/zollikon/eba4o/augenarzt-zollikon,https://augenarzt-zollikon.ch/,0,,https://www.google.ch/search?q=Augenarzt+Zollikon
Augencenter Regensdorf,"Watterstrasse 41, 8105 Regensdorf",Watterstrasse 41,8105,Regensdorf,Zürich,044 840 66 12,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/regensdorf/ex23/augencenter-regensdorf,https://augencenter-regensdorf.ch/,0,,https://www.google.ch/search?q=Augencenter+Regensdorf
Augencenter Regensdorf Dr.med. Petra Luteijn,"Watterstrasse 41, 8105 Regensdorf",Watterstrasse 41,8105,Regensdorf,Zürich,044 840 66 12,"Augenchirurgie, Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Glaukom | Grüner Star, Katarakt | Grauer Star, Katarakt-Chirurgie | Grauer Star-Operation, Kurzsichtigkeit | Myopie, Ophthalmo-Diabetologie, Pädiatrische Ophthalmologie, Strabismus | Schielen, Trockene Augen, Vorsorgeuntersuchung Diabetische Retinopathie",https://www.onedoc.ch/de/medizinische-praxis/regensdorf/ebbek/augencenter-regensdorf-dr-med-petra-luteijn,https://augencenter-regensdorf.ch/,0,,https://www.google.ch/search?q=Augencenter+Regensdorf+Dr.med.+Petra+Luteijn
Augencenter Uitikon,"Leuengasse 3, 8142 Uitikon",Leuengasse 3,8142,Uitikon,Zürich,044 400 22 80,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Brille, Glaukom | Grüner Star, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Kontaktlinsen, Sehstörung, Sehtest für den Führerschein, Trockene Augen",https://www.onedoc.ch/de/medizinische-praxis/uitikon/ebakd/augencenter-uitikon,https://www.augencenter-uitikon.ch/,0,,https://www.google.ch/search?q=Augencenter+Uitikon
Augenpraxis am Stadelhofen - Dr. med. Püschel Caecilia,"Gottfried Keller-Strasse 5, 8001 Zürich",Gottfried Keller-Strasse 5,8001,Zürich,Zürich,044 251 11 88,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/zurich/ewlk/augenpraxis-am-stadelhofen-dr-med-puschel-caecilia,https://augenpraxis-am-stadelhofen.ch/,1,,https://www.google.ch/search?q=Augenpraxis+am+Stadelhofen+-+Dr.+med.+Püschel+Caecilia+Zürich
Augenpraxis Dielsdorf,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 854 64 55,"Augenchirurgie, Augenheilkunde, Ästhetische Medizin, Blepharoplastik | Augenlidchirurgie, Injektion von Botulinumtoxin | Botox, Katarakt | Grauer Star, Katarakt-Chirurgie | Grauer Star-Operation",https://www.onedoc.ch/de/medizinische-praxis/dielsdorf/e8sg/augenpraxis-dielsdorf,https://www.gzdielsdorf.ch/unsere-partner/unsere-partner/augeninstitut,1,,https://www.google.ch/search?q=Augenpraxis+Dielsdorf
Augenpraxis Odeon,"Limmatquai 2, 8001 Zürich",Limmatquai 2,8001,Zürich,Zürich,044 521 44 55,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/zurich/e9hb/augenpraxis-odeon,https://www.augenarztvergleich.ch/d/augenarztpraxen/augenpraxis-odeon-d:pOh7Sz7wm,0,,https://www.google.ch/search?q=Augenpraxis+Odeon+Zürich
Augenpraxis Spanweid Bülach,"Zürichstrasse 5, 8180 Bülach",Zürichstrasse 5,8180,Bülach,Zürich,044 872 90 50,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/bulach/epkn/augenpraxis-spanweid-bulach,http://www.augendoktor.ch/,0,,https://www.google.ch/search?q=Augenpraxis+Spanweid+Bülach
Augenpraxis Untertor AG,"Untertor 4, 8400 Winterthur",Untertor 4,8400,Winterthur,Zürich,052 214 31 31,"Augenchirurgie, Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Chirurgie der Presbyopie | Chirurgie der Alterssichtigkeit, Funduskopie | Ophthalmoskopie | Augenspiegelung | Spaltlampenuntersuchung, Glaukom | Grüner Star, Katarakt-Chirurgie | Grauer Star-Operation, Keratokonus | Hornhautkegel, Strabismus | Schielen, Trockene Augen",https://www.onedoc.ch/de/medizinische-praxis/winterthur/ew5f/augenpraxis-untertor-ag,,0,,https://www.google.ch/search?q=Augenpraxis+Untertor+AG+Winterthur
